de,en
nie mehr,"no more, never again"
"recht geben (gibt recht, gab recht, hat recht gegeben)","to agree, concede"
das Shopping (Singular),shopping
"der Stadtmensch, -en",city person
"der Stadttyp, -en",city person
das Studentenleben (Singular),student life
"der Landmensch, -en",country person
"der Stadtgarten, -gärten",city garden
erwachen,to awaken
"aufhalten (hält auf, hielt auf, hat aufgehalten)","to stop, hold up, delay"
"die Backstube, -n",bakery
"der Bauhof, Bauhöfe",construction yard
"der Dienst, -e (im Dienst sein)","work, service (to be at work)"
"die Fahrerin, -nen",driver (f.)
"die Frühschicht, -en",morning shift
"hineingehen (geht hinein, ging hinein, ist die Hochtouren (Plural) (Alle arbeiten auf Hochtouren.)","to go in full speed, high gear (Everyone is working a full speed.)"
"der Korb, Körbe",basket
"der Lehrling, -e","apprentice, trainee"
"der Magazinbericht, -e",magazine report
"der/die Obdachlose, -n",homeless person
"die Operation, -en","operation, surgery"
"das Reinigungsfahrzeug, -e",street cleaning vehicle
städtisch,urban
"die Übernahme, -n","takeover, change of shifts"
unruhig,"unsettled, uneasy, uneasily"
"der Weg, -e (sich auf den Weg machen)","way, path (to get on one‘s way)"
"der Fahrer, -",driver (m.)
"der Nachtdienst, -e",night shift
"offen lassen (lässt offen, ließ offen, hat offen gelassen)",to leave open
üblich,usual
"der Sozialarbeiter, -",social worker
aufwachen,to wake up
"geschehen (geschieht, geschah, ist geschehen)","to happen, occur"
lebenswert,to be worth living in
"anziehen (zieht an, zog an, hat angezogen) (Gute Rankings ziehen Investoren an.)","to attract, pull in (Good rankings attract investors.)"
"der/die Arbeitssuchende, -n",job searcher
"der Ausbildungsplatz, Ausbildungsplätze",trainee position
bewerten,to evaluate
dienen (als + Akk.),to serve
"die Einkommensstruktur, -en",income distribution
"die Informationsquelle, -n",information source
"der/die Interessierte, -n",interest
"der Investor, -en",investor
"das Kriterium, Kriterien",criterion
"die Liste, -n",list
"das Ministerium, Ministerien",ministry
"der Rang, Ränge",rank
"das Ranking, -s",ranking
"der Rankingplatz, -plätze",ranking
sonstige,other
vordere,front
"das Städteranking, -s",city ranking
"die Freizeitmöglichkeit, -en",recreational opportunity
"das Gehaltsniveau, -s",salary level
"der Themenbereich, -e","topic, subject area"
"das Unterthema, -themen",subtopic
die Zufriedenheit (Singular),satisfaction
"der Kursort, -e",course location
einig sein (sich),to be in agreement
"der Zusammenhang, Zusammenhänge",context
allerdings,"though, admittedly"
"Kölsch (Singular, ohne Artikel)",Colognian
die Öffnungszeiten (Plural),opening hours
"der Feiertag, -e",holiday
"die Ahnung, -en","idea, notion"
anlächeln,to smile at
"die Attraktion, -en",attraction
"das Büdchen, -",kiosk
"die Bude, -n",booth
die Chips (Plural) (Kaufst du mir eine Tüte Chips?),chips (Will you buy me a bag of chips?)
"das Currygewürz, -e",curry
"der Dialekt, -e",dialect
"die Etage, -n","level, floor, story"
"festnehmen (nimmt fest, nahm fest, hat festgenommen)",to arrest
die Flucht (Singular),escape
hinunterrasen,to race down
das Hühnerfleisch (Singular),chicken meat
knurren (Mir knurrt der Magen vor Hunger.),rumble (My stomach is rumbling with hunger.)
"der Krimi, -s","crime story, crime film"
"der Laden, Läden",shop
längst,long ago
"der Magen, Mägen",stomach
"der Sandwich, -s",sandwich
"der Stadtführer, -",city guide
"die Stammkneipe, -n",local pub
"der Täter, -","offender, culprit"
"der/die Tote, -n",dead person
"um sein (ist um, war um, ist um gewesen) (Der Krimi war schon zur Hälfte um.)",to be over (The crime show was already half over.)
"der/die Verdächtige, -n",suspect
"der Verkaufsstand, -stände",sales booth
"vernehmen (vernimmt, vernahm, hat vernommen) (Die Polizei hat Verdächtige vernommen.)","to question, examine (The police questioned some suspects.)"
"der Zeuge, -n",witness
"die Freizeitaktivität, -en",leisure activity
der Tourismus (Singular),tourism
freundlich (Mit freundlichen Grüßen),friendly (with friendly greetings)
"geehrt (Sehr geehrte Damen und Herren, …)",honored (Dear honored ladies and gentlement …)
"der Geschäftspartner, -",business partner (m.)
"die Geschäftspartnerin, -nen",business partner (f.)
mitteilen,"to tell, notify"
regieren,"to rule, govern"
anschaffen,"to buy, get"
"der Beleg, -e","document, voucher"
ernsthaft,"serious(ly), earnest(ly)"
"die Mahnung, -en",reminder
sparsam,"economical(ly), frugal(ly)"
"der Sportverein, -e",sports club
"die Vereinskasse, -n",club treasury
der Bohnenkaffee (Singular),coffee beans
"die Einheit, -en",unity
"der Herrenanzug, -anzüge",men‘s suit
"der Kleiderschrank, -schränke",wardrobe
"das Mischbrot, -e",brown bread
"das Schweinekotelett, -s",pork chop
die Vollmilch (Singular),whole milk
abheben,"to withdraw, lift off"
"desto (je …, desto …)","the more (the more …, the more …)"
"die EC-Karte, -n",debit card
"der Geldautomat, -en","ATM, automatic teller machine"
"das Girokonto, -konten",checking account
"je …, desto …","the more …, the more …"
"die Kontoeröffnung, -en",account opening
"die Traumbank, -banken",dream bank
umsonst,for free
traumhaft,fantastic(al)
"der/die Bankangestellte, -n",benk teller
"die Geheimnummer, -n",secret number
"der Kredit, -e",credit
"die PIN, -s","PIN, personal identification number"
"das Portemonnaie, -s",wallet
"die Eurone, -n (ugs.)",Euro (colloq.)
die Kohle (Singular) (ugs. für Geld),coal (colloq. for money)
die Kröten (Plural) (ugs. für Geld),toads (colloq. for money)
die Mäuse (Plural) (ugs. für Geld),mice (colloq. for money)
die Umgangssprache (Singular),colloquial language
"der Bankkunde, -n",bank customer
das Bargeld (Singular),cash
"der Betrag, Beträge","sum, amount"
dankbar,thankful(ly)
"einziehen (zieht ein, zog ein, hat eingezogen) (Der Automat hat meine Karte eingezogen.)","to collect, pull in, confiscate (The ATM confiscated my card.)"
erhöhen,"to raise, increase"
"die Geheimzahl, -en",secret number
"die Karte, -n (Der Automat hat meine Karte eingezogen.)",card (The ATM confiscated my card.)
kurzfristig,"briefly, short-term"
sperren (Ich musste gestern meine EC-Karte sperren lassen.),"to cancel, block, close off, freeze (I had to cancel my debit card yesterday.)"
"überziehen (überzieht, überzog, hat überzogen)",to overdraw
wieso,why
"der Bankautomat, -en","ATM, automatic teller machine"
"aufladen (lädt auf, lud auf, hat aufgeladen)","to load up, recharge"
ausführen,"to execute, carry out"
"das Bankgeschäft, -e",banking
"die Bedeutung, -en",meaning
"behalten (behält, behielt, hat behalten)",to keep
benötigen,"to need, require"
beschädigen,"to damage, deface"
"der Chip, -s (Ich brauche einen Chip für den Parkautomat.)","smart card, chip-and-PIN card (I need a smart card for the parking meter.)"
"der Dauerauftrag, -aufträge","recurring payment, standing order"
"der Diebstahl, Diebstähle",theft
einrichten,"to establish, set up"
"entnehmen (entnimmt, entnahm, hat entnommen)",to take from
"der Fahrkartenautomat, -en",ticket machine
"die Filiale, -n",branch
"der Geldbetrag, -beträge",sum of money
"der Geldkarten-Chip, -s",money chip
"gutschreiben (schreibt gut, schrieb gut, hat gutgeschrieben)",to credit
"der Kontoauszug, -auszüge",account withdrawal
"der Neukunde, -n",new customer
"der Parkautomat, -en",parking meter
umgehend,"immediate(ly), prompt(ly)"
"der Verlust, -e",loss
verwalten,"to manage, administer"
"wiederfinden (findet wieder, fand wieder, hat wiedergefunden)",to find again
zuschicken,to send over
"zurückerhalten (erhält zurück, erhielt zurück, hat zurückerhalten)",to get back
ausfüllen,to fill out
deklinieren,to decline
einzahlen,"to deposit, pay in"
die Globalisierung (Singular),globalization
Asien,Asia
die Auswahl (Singular),selection
"der Banker, -",banker
"bedenken (bedenkt, bedachte, hat bedacht)",to consider
"die Bedingung, -en",condition
"die Finanzkrise, -n",financial crisis
"die Forschung, -en",research
"der Fortschritt, -e",progress
furchtbar,horrible
"der Handyhersteller, -",mobile phone manufacturer
die Konkurrenz (Singular),competition
"der Lohn, Löhne","wage, pay"
problematisch,problematic(ally)
rasend,"rapid, furious"
spekulieren,to speculate
"der Topmanager, -",top manager
überleben,to survive
wachsend,"growing, expanding"
der Weltmarkt (Singular),world market
der Wohlstand (Singular),prosperity
schwitzen,to sweat
"das Versprechen, -",promise
das Gewissen (Singular),conscience
basieren (auf + Akk.),"to base, be based"
"betrügen (betrügt, betrog, hat betrogen)",to betray
"der Dieb, -e",thief
drin,in it
"einwerfen (wirft ein, warf ein, hat eingeworfen)","to insert, throw in"
"die Gewissensfrage, -n",question of conscience
"die Großtante, -n",great-aunt
"herausfinden (findet heraus, fand heraus, hat herausgefunden)",to find out
das Kleingeld (Singular),small change
nachprüfen,"to verify, re-examine"
verstaubt (verstauben),dusty (to get dusty)
"der Vorwurf, Vorwürfe",accusation
weiterverschenken,to re-gift
wunderschön,"beautiful, lovely"
"der Zeitungskasten, -kästen",newspaper rack
zwischendurch,"meanwhile, in between"
befürworten,to advocate
der Blickkontakt (Singular),eye contact
"leiden können (Ich kann es nicht leiden, wenn du zu spät kommst.)","to tolerate, stand s.t. (I can‘t stand it when you‘re late.)"
räuspern (sich),to clear one‘s throat
tolerieren,to tolerate
"der Arbeiter, -","worker, laborer"
"ausziehen (zieht aus, zog aus, ist ausgezogen) (Wir sind aus unserer Wohnung ausgezogen.)",to move out (We moved out of our apartment.)
beten,to pray
bewachen,to guard
damalig,"onetime, bygone"
"die Entstehungszeit, -en",time of origin
finanzieren,to finance
fortschrittlich,"forward-looking, progressive(ly)"
"die Gasse, -n",alley
"geraten (gerät, geriet, ist geraten) (in Schwierigkeiten geraten)",to get into (to get into difficulties)
"die Immobilie, -n",real estate
"die Jahresmiete, -n",yearly rent
katholisch,Catholic
"die Kaufmannsfamilie, -n",merchant family
"die Konzeption, -en","idea, conception"
"der Nachtwächter, -",night watchman
die Nebenkosten (Plural),additional costs
"der Originalzustand, -zustände",original condition
die Schulden (Plural),debt
die Selbsthilfe (Singular),self-help
"die Siedlung, -en","settlement, housing scheme"
"die Sozialsiedlung, -en",social housing project
"die Stadtmauer, -n",city wall
"das Stiftungsvermögen, -",endowment
symbolisch,symbolic(ally)
touristisch,touristic
"der Urgroßvater, -väter",great-grandfather
